"ID"	"CLONEID"	"GSE22133_hitBLAT"	"GSE22133_geneSymbol"	"GSE22133_description"
"4041"	"H200000641"	"NM_001192"	"TNFRSF17"	"TNFRSF17 : tumor necrosis factor receptor superfamily,"
"4046"	"H200001751"	"NM_032635"	"NIFIE14"	"NIFIE14 : seven transmembrane domain protein"
"4633"	"H300005113"	"NM_173824"	"C3orf38"	"C3orf38 : hypothetical protein LOC285237"
"4635"	"H300009389"	"uc004bxt.1"	"AX747401"	"AX747401 : Homo sapiens cDNA FLJ34873 fis, clone NT2NE2014950."
"4641"	"H300009256"	"uc002pgi.1"	"NR_002797"	"NR_002797 : Homo sapiens hypothetical protein LOC255783, mRNA (cDNA clone IMAGE:4817351)."
"4643"	"H300002786"	"NM_153336"	"C10orf89"	"C10orf89 : hypothetical protein LOC118672"
"4648"	"H300008327"	"uc003mud.1"	"MGC39372"	"MGC39372 : Homo sapiens hypothetical protein MGC39372, mRNA (cDNA clone IMAGE:5089466), complete cds."
"4649"	"H300002716"	"uc001zit.1"	"AK092087"	"AK092087 : Homo sapiens cDNA FLJ34768 fis, clone NT2NE2002791."
"4656"	"H200003051"	"NM_002254"	"KIF3C"	"KIF3C : kinesin family member 3C"
"4658"	"H200011079"	"NM_001229"	"CASP9"	"CASP9 : caspase 9 isoform alpha preproprotein"
"4663"	"H300008063"	"NM_152784"	"TMEM146"	"TMEM146 : hypothetical protein LOC257062"
"4667"	"H300009270"	"NM_030904"	"OR2T1"	"OR2T1 : olfactory receptor, family 2, subfamily T,"
"4681"	"H300006658"	"NM_001013660"	"FRRS1"	"FRRS1 : stromal cell derived factor receptor 2 homolog"
"4686"	"H300003796"	"uc002jvj.1"	"EPR-1"	"EPR-1 : Homo sapiens full length insert cDNA clone ZC30F12."
"4688"	"H300002106"	"NM_175873"	"ANKRD43"	"ANKRD43 : ankyrin repeat domain 43"
"4690"	"H300004997"	"NM_194439"	"LOC285498"	"LOC285498 : ring finger protein 212"
"4694"	"H300013163"	"NM_001097620"	"MGC9712"	"MGC9712 : N/A"
"4698"	"H300004316"	"NM_203301"	"FBXO33"	"FBXO33 : F-box protein 33"
"4699"	"H300006269"	"NM_080608"	"C20orf165"	"C20orf165 : chromosome 20 open reading frame 165"
"4704"	"H300001718"	"uc001cyh.1"	"KIAA1057"	"KIAA1057 : Homo sapiens mRNA for KIAA1057 protein, partial cds."
"4705"	"H300003199"	"NM_024335"	"IRX6"	"IRX6 : iroquois homeobox protein 6"
"4707"	"H300004783"	"NM_003226"	"TFF3"	"TFF3 : trefoil factor 3 precursor"
"4708"	"H300008689"	"uc002kov.1"	"AX747416"	"AX747416 : Homo sapiens cDNA FLJ34907 fis, clone NT2RI2003392."
"4712"	"H300001374"	"NM_001005465"	"OR10G3"	"OR10G3 : olfactory receptor, family 10, subfamily G,"
"4715"	"H300005167"	"NM_178830"	"FLJ36888"	"FLJ36888 : hypothetical protein LOC126526"
"4717"	"H300005067"	"NM_003202"	"TCF7"	"TCF7 : transcription factor 7 (T-cell specific,"
"4720"	"H300009366"	"uc001oqh.1"	"DQ152234"	"DQ152234 : Homo sapiens cDNA FLJ38726 fis, clone KIDNE2010271, moderately similar to Mus musculus mRNA for Shank3b protein."
"4728"	"H300001469"	"NM_021202"	"TP53INP2"	"TP53INP2 : tumor protein p53 inducible nuclear protein 2"
"4731"	"H200020911"	"uc002bey.1"	"MTHFS"	"MTHFS : Homo sapiens cDNA FLJ30410 fis, clone BRACE2008622, moderately similar to 5-FORMYLTETRAHYDROFOLATE CYCLO-LIGASE (EC 6.3.3.2)."
"4736"	"H300018074"	"NM_018151"	"RIF1"	"RIF1 : RAP1 interacting factor 1"
"4740"	"H300002731"	"NM_025224"	"BTBD4"	"BTBD4 : BTB (POZ) domain containing 4"
"4747"	"H200021291"	"NM_175907"	"ZADH2"	"ZADH2 : zinc binding alcohol dehydrogenase, domain"
"4754"	"H300010223"	"NM_173082"	"SHPRH"	"SHPRH : SNF2 histone linker PHD RING helicase isoform b"
"4761"	"H200019385"	"uc002npu.1"	"ZNF493"	"ZNF493 : Zinc finger protein 493."
"4764"	"H200020193"	"uc001cuz.1"	"SLC1A7"	"SLC1A7 : SLC1A7 protein (Solute carrier family 1 (Glutamate transporter), member 7)."
"4769"	"H200019391"	"NM_001097642"	"GJB1"	"GJB1 : N/A"
"4777"	"H200019765"	"NM_012307"	"EPB41L3"	"EPB41L3 : erythrocyte membrane protein band 4.1-like 3"
"4779"	"H200019789"	"NM_001069"	"TUBB2A"	"TUBB2A : tubulin, beta 2"
"4783"	"H200019837"	"NM_024567"	"HMBOX1"	"HMBOX1 : homeobox containing 1"
"4793"	"H200020145"	"NM_032775"	"KLHL22"	"KLHL22 : kelch-like"
"4801"	"H200017889"	"NM_012445"	"SPON2"	"SPON2 : spondin 2, extracellular matrix protein"
"4807"	"H200017871"	"uc002pgr.1"	"MEIS3"	"MEIS3 : Meis1, myeloid ecotropic viral integration site"
"4812"	"H200018703"	"NM_017842"	"FLJ20489"	"FLJ20489 : hypothetical protein LOC55652"
"4816"	"H200019029"	"NM_024334"	"TMEM43"	"TMEM43 : transmembrane protein 43"
"4818"	"H200019053"	"NM_017964"	"SLC30A6"	"SLC30A6 : solute carrier family 30 (zinc transporter),"
"4820"	"H200019077"	"NM_013432"	"NFKBIL2"	"NFKBIL2 : I-kappa-B-related protein"
"4824"	"H200019035"	"NM_015575"	"TNRC15"	"TNRC15 : trinucleotide repeat containing 15"
"4826"	"H200019059"	"NM_005506"	"SCARB2"	"SCARB2 : scavenger receptor class B, member 2"
"4828"	"H200019083"	"NM_001024844"	"CD82"	"CD82 : CD82 antigen isoform 2"
"4831"	"H200015995"	"NM_000524"	"HTR1A"	"HTR1A : 5-hydroxytryptamine (serotonin) receptor 1A"
"4853"	"H200016725"	"NM_006345"	"SLC30A9"	"SLC30A9 : solute carrier family 30 (zinc transporter),"
"4854"	"H200017509"	"NM_014819"	"PJA2"	"PJA2 : praja 2, RING-H2 motif containing"
"4855"	"H200016749"	"NM_007037"	"ADAMTS8"	"ADAMTS8 : ADAM metallopeptidase with thrombospondin type 1"
"4857"	"H200016773"	"NM_002203"	"ITGA2"	"ITGA2 : integrin alpha 2 precursor"
"4858"	"H200017557"	"NM_001030011"	"OPN3"	"OPN3 : opsin 3 isoform 2"
"4860"	"H200017491"	"NM_015926"	"TEX264"	"TEX264 : testis expressed sequence 264"
"4861"	"H200016731"	"uc002jqu.1"	"EXOC7"	"EXOC7 : exocyst complex component 7 isoform b"
"4862"	"H200017515"	"NM_002737"	"PRKCA"	"PRKCA : protein kinase C, alpha"
"4867"	"H200014451"	"NM_017682"	"BEST2"	"BEST2 : vitelliform macular dystrophy 2-like 1"
"4869"	"H200014475"	"NM_016625"	"RSRC1"	"RSRC1 : arginine/serine-rich coiled-coil 1"
"4871"	"H200014499"	"uc002xyu.1"	"CR612603"	"CR612603 : Homo sapiens cDNA FLJ31536 fis, clone NT2RI2000689."
"4874"	"H200015585"	"NM_024899"	"CEP76"	"CEP76 : centrosomal protein 76kDa"
"4878"	"H200015633"	"NM_194298"	"SLC16A9"	"SLC16A9 : solute carrier family 16 (monocarboxylic acid"
"4882"	"H200015591"	"uc003pju.1"	"AK023685"	"AK023685 : Homo sapiens cDNA FLJ11614 fis, clone HEMBA1004015."
"4883"	"H200014831"	"NM_003913"	"PRPF4B"	"PRPF4B : serine/threonine-protein kinase PRP4K"
"4884"	"H200015615"	"uc003qil.1"	"C6orf115"	"C6orf115 : Uncharacterized protein C6orf115."
"4886"	"H200015639"	"NM_004218"	"RAB11B"	"RAB11B : RAB11B, member RAS oncogene family"
"4887"	"H200014879"	"NM_017919"	"STX17"	"STX17 : syntaxin 17"
"4888"	"H200015663"	"NM_014976"	"PDCD11"	"PDCD11 : programmed cell death 11"
"4895"	"H200015253"	"NM_006868"	"RAB31"	"RAB31 : RAB31, member RAS oncogene family"
"4897"	"H200012925"	"NM_023016"	"C2orf26"	"C2orf26 : ankyrin repeat domain 57"
"4899"	"H200012949"	"NM_139025"	"ADAMTS13"	"ADAMTS13 : ADAM metallopeptidase with thrombospondin type 1"
"4900"	"H200013733"	"NM_001525"	"HCRTR1"	"HCRTR1 : orexin receptor 1"
"4905"	"H200012931"	"uc003uis.1"	"CROT"	"CROT : CROT protein."
"4906"	"H200013715"	"NM_006742"	"PSKH1"	"PSKH1 : protein serine kinase H1"
"4908"	"H200013739"	"NM_018356"	"FLJ11193"	"FLJ11193 : hypothetical protein LOC55322"
"4911"	"H200013003"	"NM_033410"	"MGC13138"	"MGC13138 : zinc finger protein 764"
"4912"	"H200014065"	"NM_032576"	"CYorf15B"	"CYorf15B : lipopolysaccaride-specific response 5-like"
"4913"	"H200013305"	"NM_005845"	"ABCC4"	"ABCC4 : ATP-binding cassette, sub-family C, member 4"
"4914"	"H200014089"	"NM_003805"	"CRADD"	"CRADD : CASP2 and RIPK1 domain containing adaptor with"
"4915"	"H200013329"	"NM_000046"	"ARSB"	"ARSB : arylsulfatase B isoform 1 precursor"
"4917"	"H200013353"	"NM_016123"	"IRAK4"	"IRAK4 : interleukin-1 receptor-associated kinase 4"
"4919"	"H200013377"	"NM_032854"	"CORO6"	"CORO6 : coronin 6"
"4925"	"H200013359"	"NM_016287"	"HP1BP3"	"HP1BP3 : HP1-BP74"
"4933"	"H200011103"	"NM_003200"	"TCF3"	"TCF3 : transcription factor 3"
"4934"	"H200012165"	"NM_015670"	"SENP3"	"SENP3 : SUMO1/sentrin/SMT3 specific protease 3"
"4935"	"H200011405"	"NM_023015"	"INTS3"	"INTS3 : integrator complex subunit 3"
"4936"	"H200012189"	"NM_020246"	"SLC12A9"	"SLC12A9 : solute carrier family 12 (potassium/chloride"
"4937"	"H200011429"	"NM_148894"	"FAM44A"	"FAM44A : hypothetical protein LOC259282"
"4938"	"H200012213"	"NM_006432"	"NPC2"	"NPC2 : epididymal secretory protein E1 precursor"
"4941"	"H200011477"	"NM_001740"	"CALB2"	"CALB2 : calbindin 2 full length protein isoform"
"4942"	"H200012171"	"NM_014701"	"KIAA0256"	"KIAA0256 : hypothetical protein LOC9728"
"4944"	"H200012195"	"NM_199344"	"SFT2D2"	"SFT2D2 : SFT2 domain containing 2"
"4945"	"H200011435"	"NM_018847"	"KLHL9"	"KLHL9 : kelch-like 9"
"4948"	"H200012243"	"NM_022141"	"PARVG"	"PARVG : parvin, gamma"
"4949"	"H200011483"	"NM_015391"	"ANAPC13"	"ANAPC13 : anaphase promoting complex subunit 13"
"4950"	"H200012545"	"NM_145309"	"LRRC51"	"LRRC51 : leucine rich repeat containing 51"
"4951"	"H200011785"	"NM_020896"	"OSBPL5"	"OSBPL5 : oxysterol-binding protein-like protein 5 isoform"
"4953"	"H200011809"	"NM_018486"	"HDAC8"	"HDAC8 : histone deacetylase 8"
"4957"	"H200011857"	"NM_005772"	"RCL1"	"RCL1 : RNA cyclase homolog"
"4962"	"H200012599"	"NM_024751"	"FLJ13273"	"FLJ13273 : glutathione S-transferase, C-terminal domain"
"4963"	"H200011839"	"NM_015329"	"KIAA0892"	"KIAA0892 : hypothetical protein LOC23383"
"4964"	"H200012623"	"NM_024015"	"HOXB4"	"HOXB4 : homeobox B4"
"4970"	"H200010343"	"NM_000078"	"CETP"	"CETP : cholesteryl ester transfer protein, plasma"
"4971"	"H200009583"	"NM_032515"	"BOK"	"BOK : BCL2-related ovarian killer"
"4972"	"H200010645"	"NM_005050"	"ABCD4"	"ABCD4 : ATP-binding cassette, sub-family D, member 4"
"4974"	"H200010669"	"NM_003213"	"TEAD4"	"TEAD4 : TEA domain family member 4 isoform 1"
"4975"	"H200009909"	"NM_025179"	"PLXNA2"	"PLXNA2 : plexin A2"
"4976"	"H200010693"	"NM_006165"	"NFRKB"	"NFRKB : nuclear factor related to kappaB binding"
"4978"	"H200010717"	"NM_004897"	"MINPP1"	"MINPP1 : multiple inositol polyphosphate histidine"
"4982"	"H200010675"	"NM_032601"	"MCEE"	"MCEE : methylmalonyl-CoA epimerase"
"4983"	"H200009915"	"NM_001040647"	"RCP9"	"RCP9 : calcitonin gene-related peptide-receptor"
"4984"	"H200010699"	"NM_020041"	"SLC2A9"	"SLC2A9 : solute carrier family 2, member 9 protein"
"4987"	"H200009963"	"NM_001080417"	"ZNF629"	"ZNF629 : zinc finger protein 629"
"4989"	"H200010265"	"NM_199327"	"SPRY1"	"SPRY1 : sprouty homolog 1, antagonist of FGF signaling"
"4990"	"H200011049"	"NM_000309"	"PPOX"	"PPOX : protoporphyrinogen oxidase"
"4991"	"H200010289"	"NM_018132"	"C6orf139"	"C6orf139 : centromere protein Q"
"4995"	"H200010337"	"NM_000280"	"PAX6"	"PAX6 : paired box gene 6 isoform a"
"4997"	"H200010271"	"NM_138794"	"LYPLAL1"	"LYPLAL1 : lysophospholipase-like 1"
"5000"	"H200008817"	"NM_004733"	"SLC33A1"	"SLC33A1 : acetyl-coenzyme A transporter"
"5003"	"H200007991"	"NM_005536"	"IMPA1"	"IMPA1 : inositol(myo)-1(or 4)-monophosphatase 1"
"5005"	"H200008015"	"NM_002843"	"PTPRJ"	"PTPRJ : protein tyrosine phosphatase, receptor type, J"
"5007"	"H200008039"	"NM_018843"	"MCFP"	"MCFP : mitochondrial carrier family protein"
"5008"	"H200008823"	"NM_016510"	"SCLY"	"SCLY : selenocysteine lyase"
"5009"	"H200008063"	"NM_021629"	"GNB4"	"GNB4 : guanine nucleotide-binding protein, beta-4"
"5011"	"H200008365"	"NM_000389"	"CDKN1A"	"CDKN1A : cyclin-dependent kinase inhibitor 1A"
"5013"	"H200008389"	"NM_024831"	"NCOA6IP"	"NCOA6IP : PRIP-interacting protein PIPMT"
"5016"	"H200009197"	"NM_025065"	"BXDC5"	"BXDC5 : RNA processing factor 1"
"5019"	"H200008371"	"NM_002466"	"MYBL2"	"MYBL2 : MYB-related protein B"
"5023"	"H200008419"	"NM_000599"	"IGFBP5"	"IGFBP5 : insulin-like growth factor binding protein 5"
"5025"	"H200008443"	"NM_130807"	"MOBKL2A"	"MOBKL2A : MOB-LAK"
"5027"	"H200008745"	"NM_018426"	"TMEM63B"	"TMEM63B : transmembrane protein 63B"
"5029"	"H200008769"	"NM_018439"	"IMPACT"	"IMPACT : Impact homolog"
"5032"	"H200009577"	"NM_022165"	"LIN7B"	"LIN7B : lin-7 homolog B"
"5034"	"H200007249"	"uc002haa.1"	"PYY2"	"PYY2 : Homo sapiens peptide YY-2 (PYY2) mRNA, complete cds."
"5035"	"H200006489"	"NM_018294"	"CWF19L1"	"CWF19L1 : CWF19-like 1, cell cycle control"
"5036"	"H200007273"	"NM_138499"	"PWWP2"	"PWWP2 : PWWP domain containing 2"
"5037"	"H200006513"	"NM_005415"	"SLC20A1"	"SLC20A1 : solute carrier family 20 (phosphate"
"5038"	"H200007297"	"NM_001410"	"MEGF8"	"MEGF8 : EGF-like-domain, multiple 4"
"5039"	"H200006537"	"NM_003878"	"GGH"	"GGH : gamma-glutamyl hydrolase precursor"
"5042"	"H200007255"	"NM_006373"	"VAT1"	"VAT1 : vesicle amine transport protein 1"
"5043"	"H200006495"	"NM_198232"	"RNASE1"	"RNASE1 : pancreatic ribonuclease precursor"
"5045"	"H200006519"	"NM_002579"	"PALM"	"PALM : paralemmin isoform 1"
"5046"	"H200007303"	"NM_003637"	"ITGA10"	"ITGA10 : integrin, alpha 10 precursor"
"5047"	"H200006543"	"NM_199166"	"ALAS1"	"ALAS1 : aminolevulinate, delta, synthase 1"
"5050"	"H200007629"	"NM_018018"	"SLC38A4"	"SLC38A4 : solute carrier family 38, member 4"
"5051"	"H200006869"	"NM_002101"	"GYPC"	"GYPC : glycophorin C isoform 1"
"5053"	"H200006893"	"NM_172217"	"IL16"	"IL16 : interleukin 16 isoform 2"
"5054"	"H200007677"	"NM_030938"	"TMEM49"	"TMEM49 : transmembrane protein 49"
"5056"	"H200007611"	"NM_001714"	"BICD1"	"BICD1 : bicaudal D homolog 1 isoform 1"
"5057"	"H200006851"	"NM_030652"	"EGFL8"	"EGFL8 : NG3 protein"
"5058"	"H200007635"	"NM_017708"	"FAM83E"	"FAM83E : hypothetical protein LOC54854"
"5059"	"H200006875"	"NM_004184"	"WARS"	"WARS : tryptophanyl-tRNA synthetase isoform a"
"5063"	"H200006923"	"NM_144488"	"RGS3"	"RGS3 : regulator of G-protein signalling 3 isoform 6"
"5065"	"H200007225"	"NM_001024463"	"HISPPD2A"	"HISPPD2A : Histidine acid phosphatase domain containing 2A"
"5066"	"H200008009"	"NM_001003698"	"RREB1"	"RREB1 : ras responsive element binding protein 1 isoform"
"5068"	"H200005403"	"NM_053044"	"HTRA3"	"HTRA3 : HtrA serine peptidase 3"
"5069"	"H200004643"	"NM_007079"	"PTP4A3"	"PTP4A3 : protein tyrosine phosphatase type IVA, member 3"
"5073"	"H200004969"	"NM_003452"	"ZNF189"	"ZNF189 : zinc finger protein 189 isoform 1"
"5075"	"H200004993"	"NM_003745"	"SOCS1"	"SOCS1 : suppressor of cytokine signaling 1"
"5077"	"H200005017"	"NM_001077491"	"KLK5"	"KLK5 : kallikrein-related peptidase 5 preproprotein"
"5079"	"H200004951"	"NM_014031"	"SLC27A6"	"SLC27A6 : solute carrier family 27 (fatty acid"
"5081"	"H200004975"	"NM_006860"	"RABL4"	"RABL4 : RAB, member of RAS oncogene family-like 4"
"5083"	"H200004999"	"NM_005399"	"PRKAB2"	"PRKAB2 : AMP-activated protein kinase beta 2"
"5084"	"H200005783"	"NM_014931"	"SAPS1"	"SAPS1 : SAPS domain family, member 1"
"5085"	"H200005023"	"NM_005981"	"TSPAN31"	"TSPAN31 : sarcoma amplified sequence"
"5086"	"H200006085"	"NM_001873"	"CPE"	"CPE : carboxypeptidase E precursor"
"5087"	"H200005325"	"NM_138447"	"ZNF689"	"ZNF689 : zinc finger protein HIT-39"
"5089"	"H200005349"	"NM_002533"	"NVL"	"NVL : nuclear VCP-like isoform 1"
"5090"	"H200006133"	"NM_001039490"	"CD151"	"CD151 : CD151 antigen"
"5091"	"H200005373"	"NM_202001"	"ERCC1"	"ERCC1 : excision repair cross-complementing 1 isoform 1"
"5092"	"H200006157"	"NM_138773"	"LOC91137"	"LOC91137 : solute carrier family 25, member 46"
"5097"	"H200005355"	"NM_002569"	"FURIN"	"FURIN : furin preproprotein"
"5098"	"H200006139"	"NM_001001998"	"EXOSC10"	"EXOSC10 : exosome component 10 isoform 1"
"5100"	"H200006163"	"NM_000143"	"FH"	"FH : fumarate hydratase precursor"
"5106"	"H200003883"	"NM_174940"	"TMEM80"	"TMEM80 : hypothetical protein LOC283232 isoform 1"
"5107"	"H200003123"	"NM_016581"	"SITPEC"	"SITPEC : evolutionarily conserved signaling intermediate"
"5108"	"H200004185"	"NM_017632"	"CDKN2AIP"	"CDKN2AIP : collaborates/cooperates with ARF (alternate"
"5109"	"H200003425"	"NM_021823"	"PPCDC"	"PPCDC : phosphopantothenoylcysteine decarboxylase"
"5111"	"H200003449"	"NM_177543"	"PPAP2C"	"PPAP2C : phosphatidic acid phosphatase type 2C isoform 3"
"5113"	"H200003473"	"NM_018698"	"NXT2"	"NXT2 : nuclear transport factor 2-like export factor 2"
"5117"	"H200003431"	"NM_013386"	"SLC25A24"	"SLC25A24 : solute carrier family 25 member 24 isoform 1"
"5123"	"H200003503"	"NM_001260"	"CDK8"	"CDK8 : cyclin-dependent kinase 8"
"5124"	"H200004565"	"uc002npf.1"	"ZNF85"	"ZNF85 : ZNF85 protein."
"5125"	"H200003805"	"NM_175862"	"CD86"	"CD86 : CD86 antigen isoform 1"
"5126"	"H200004589"	"uc002jrz.1"	"PRCD"	"PRCD : Homo sapiens cDNA FLJ30167 fis, clone BRACE2000743."
"5127"	"H200003829"	"NM_003359"	"UGDH"	"UGDH : UDP-glucose dehydrogenase"
"5129"	"H200003853"	"NM_020424"	"LOC57149"	"LOC57149 : LYR motif containing 1"
"5132"	"H200004571"	"NM_032188"	"MYST1"	"MYST1 : MYST histone acetyltransferase 1"
"5133"	"H200003811"	"NM_014804"	"KIAA0753"	"KIAA0753 : hypothetical protein LOC9851"
"5135"	"H200001573"	"NM_032127"	"C11orf56"	"C11orf56 : hypothetical protein LOC84067"
"5140"	"H200002315"	"NM_145274"	"TMEM99"	"TMEM99 : hypothetical protein LOC147184"
"5141"	"H200001555"	"NM_015517"	"MIZF"	"MIZF : MBD2 (methyl-CpG-binding protein)-interacting"
"5142"	"H200002339"	"NM_153331"	"KCTD6"	"KCTD6 : potassium channel tetramerisation domain"
"5144"	"H200002363"	"NM_003009"	"SEPW1"	"SEPW1 : selenoprotein W, 1"
"5145"	"H200001603"	"NM_014847"	"UBAP2L"	"UBAP2L : ubiquitin associated protein 2-like"
"5146"	"H200002665"	"NM_003468"	"FZD5"	"FZD5 : frizzled 5 precursor"
"5147"	"H200001905"	"NM_017787"	"C10orf26"	"C10orf26 : hypothetical protein LOC54838"
"5148"	"H200002689"	"NM_022349"	"MS4A6A"	"MS4A6A : membrane-spanning 4-domains, subfamily A, member"
"5149"	"H200001929"	"NM_016357"	"LIMA1"	"LIMA1 : epithelial protein lost in neoplasm beta"
"5150"	"H200002713"	"NM_006014"	"LAGE3"	"LAGE3 : L antigen family, member 3"
"5153"	"H200001977"	"NM_018948"	"ERRFI1"	"ERRFI1 : mitogen-inducible gene 6 protein"
"5157"	"H200001935"	"NM_014306"	"C22orf28"	"C22orf28 : hypothetical protein LOC51493"
"5159"	"H200001959"	"NM_022746"	"MOSC1"	"MOSC1 : MOCO sulphurase C-terminal domain containing 1"
"5160"	"H200002743"	"NM_020933"	"ZNF317"	"ZNF317 : zinc finger protein 317"
"5161"	"H200001983"	"NM_053041"	"COMMD7"	"COMMD7 : COMM domain containing 7"
"5163"	"H200002285"	"uc003wpb.1"	"CR600473"	"CR600473 : CDNA FLJ34353 fis, clone FEBRA2011665."
"5164"	"H200003069"	"NM_021727"	"FADS3"	"FADS3 : fatty acid desaturase 3"
"5165"	"H200002309"	"NM_014838"	"ZBED4"	"ZBED4 : zinc finger, BED domain containing 4"
"5166"	"H200003093"	"NM_021824"	"NIF3L1"	"NIF3L1 : NIF3 NGG1 interacting factor 3-like 1"
"5167"	"H200002333"	"NM_017588"	"WDR5"	"WDR5 : WD repeat domain 5"
"5168"	"H200003117"	"NM_032937"	"C9orf37"	"C9orf37 : chromosome 9 open reading frame 37"
"5170"	"H200000789"	"NM_001033504"	"TMEM98"	"TMEM98 : hypothetical protein LOC26022"
"5172"	"H200000813"	"NM_015339"	"ADNP"	"ADNP : activity-dependent neuroprotector"
"5174"	"H200000837"	"NM_022003"	"FXYD6"	"FXYD6 : FXYD domain-containing ion transport regulator"
"5176"	"H200000771"	"NM_001085486"	"SEPP1"	"SEPP1 : N/A"
"5177"	"H200000011"	"NM_000019"	"ACAT1"	"ACAT1 : acetyl-Coenzyme A acetyltransferase 1 precursor"
"5178"	"H200000795"	"NM_032881"	"LSM10"	"LSM10 : LSM10, U7 small nuclear RNA associated"
"5181"	"H200000059"	"NM_002344"	"LTK"	"LTK : leukocyte tyrosine kinase isoform 1"
"5182"	"H200000843"	"NM_032493"	"AP1M1"	"AP1M1 : adaptor-related protein complex 1, mu 1 subunit"
"5184"	"H200001145"	"NM_015892"	"GALNAC4S-6ST"	"GALNAC4S-6ST : B cell RAG associated protein"
"5185"	"H200000385"	"NM_002152"	"HRC"	"HRC : histidine-rich calcium-binding protein"
"5187"	"H200000409"	"NM_004463"	"FGD1"	"FGD1 : faciogenital dysplasia protein"
"5189"	"H200000433"	"NM_000111"	"SLC26A3"	"SLC26A3 : down-regulated in adenoma protein"
"5192"	"H200001151"	"NM_030810"	"TXNDC5"	"TXNDC5 : thioredoxin domain containing 5 isoform 1"
"5193"	"H200000391"	"NM_002998"	"SDC2"	"SDC2 : syndecan 2 precursor"
"5194"	"H200001175"	"NM_020853"	"KIAA1467"	"KIAA1467 : hypothetical protein LOC57613"
"5196"	"H200001199"	"NM_001029991"	"FLJ20859"	"FLJ20859 : methyltransferase 11 domain containing 1 isoform"
"5201"	"H200000765"	"NM_021134"	"MRPL23"	"MRPL23 : mitochondrial ribosomal protein L23"
"5202"	"H200001549"	"uc002ayv.1"	"DKFZp434C131"	"DKFZp434C131 : Homo sapiens cDNA FLJ90566 fis, clone OVARC1001338, weakly similar to AUTOPHAGY SERINE/THREONINE-PROTEIN KINASE APG1 (EC 2.7.1.-)."
"5234"	"H300004839"	"NM_182551"	"LYCAT"	"LYCAT : lysocardiolipin acyltransferase isoform 1"
"5236"	"H200008033"	"NM_001114"	"ADCY7"	"ADCY7 : adenylate cyclase 7"
"5785"	"H300007334"	"NM_032740"	"SFT2D3"	"SFT2D3 : SFT2 domain containing 3"
"5787"	"H300005915"	"uc001iau.1"	"AK054764"	"AK054764 : Homo sapiens hypothetical short protein mRNA, complete cds."
"5790"	"H300000600"	"NM_147196"	"TMIE"	"TMIE : transmembrane inner ear protein"
"5794"	"H300016158"	"NM_144668"	"WDR66"	"WDR66 : WD repeat domain 66"
"5795"	"H300003176"	"NM_144607"	"CYB5D1"	"CYB5D1 : cytochrome b5 domain containing 1"
"5799"	"H300001169"	"uc003yet.1"	"BC067244"	"BC067244 : Homo sapiens cDNA clone IMAGE:4820809."
"5812"	"H200003336"	"NM_020857"	"VPS18"	"VPS18 : vacuolar protein sorting 18"
"5821"	"H300001999"	"NM_181724"	"TMEM119"	"TMEM119 : hypothetical protein LOC338773"
"5823"	"H300004222"	"NM_001012643"	"LOC339344"	"LOC339344 : Myb protein P42POP"
"5826"	"H300009693"	"NM_194314"	"ZBTB41"	"ZBTB41 : zinc finger and BTB domain containing 41"
"5827"	"H300005471"	"NM_173691"	"C9orf75"	"C9orf75 : hypothetical protein LOC286262"
"5830"	"H300008894"	"NM_207343"	"DKFZp547C195"	"DKFZp547C195 : ring finger protein 214"
"5832"	"H300002088"	"uc003psf.1"	"AF520419"	"AF520419 : Homo sapiens clone c222389 mRNA sequence."
"5843"	"H300004248"	"uc002ehu.1"	"AF275804"	"AF275804 : Homo sapiens PNAS-108 mRNA, partial sequence."
"5844"	"H300006346"	"NM_153360"	"FLJ90166"	"FLJ90166 : adenomatosis polyposis coli down-regulated"
"5845"	"H300007101"	"NM_001001795"	"MGC70857"	"MGC70857 : hypothetical protein LOC414919"
"5852"	"H300004008"	"NM_001012985"	"C1orf31"	"C1orf31 : hypothetical protein LOC388753"
"5855"	"H300004455"	"NM_181806"	"AASDH"	"AASDH : 2-aminoadipic 6-semialdehyde dehydrogenase"
"5859"	"H300020909"	"NM_017861"	"PIGX"	"PIGX : GPI-mannosyltransferase subunit"
"5872"	"H300010225"	"NM_080676"	"C20orf133"	"C20orf133 : hypothetical protein LOC140733 isoform 1"
"5873"	"H300006489"	"NM_144611"	"CYB5D2"	"CYB5D2 : cytochrome b5 domain containing 2"
"5883"	"H200021238"	"NM_058219"	"EXOSC6"	"EXOSC6 : homolog of yeast mRNA transport regulator 3"
"5892"	"H300019159"	"NM_016454"	"TMEM85"	"TMEM85 : hypothetical protein LOC51234"
"5914"	"H300016903"	"NM_017890"	"VPS13B"	"VPS13B : vacuolar protein sorting 13B isoform 5"
"5921"	"H200019718"	"NM_133644"	"GTPBP3"	"GTPBP3 : GTP binding protein 3 (mitochondrial) isoform"
"5922"	"H200020502"	"NM_152906"	"C22orf25"	"C22orf25 : hypothetical protein LOC128989"
"5924"	"H200020436"	"NM_020682"	"AS3MT"	"AS3MT : arsenic (+3 oxidation state) methyltransferase"
"5926"	"H200020460"	"NM_144641"	"PPM1M"	"PPM1M : protein phosphatase 1M (PP2C domain containing)"
"5927"	"H200019700"	"NM_032311"	"POLDIP3"	"POLDIP3 : DNA polymerase delta interacting protein 3"
